MovieName,MovieID,Genre,UserID,Rating,Timestamp,Gender,Age,Occupation,Zip-code,age_group
"$1,0,000 Duck (1971)",2031,Children's|Comedy,216,2,976867230,M,45,13,52761,40-50
'Night Mother (1986),3112,"Drama,,",68,5,977883710,M,18,4,53706,10-20
'Til There Was You (1997),779,"Drama|Romance,,",38,2,978045250,F,18,4,02215,10-20
"'burbs, The (1989)",2072,"Comedy,",10,4,978230923,F,35,1,95370,30-40
...And Justice for All (1979),3420,"Drama|Thriller,,",23,2,978465796,M,35,0,90049,30-40
1-900 (1994),889,"Romance,,",3015,3,975263628,M,56,6,62707,50-60
10 Things I Hate About You (1999),2572,"Comedy|Romance,,",14,1,978200645,M,35,0,60126,30-40
101 Dalmatians (1961),2085,"Animation|Children's,,",18,4,978154907,F,18,3,95825,10-20
101 Dalmatians (1996),1367,"Children's|Comedy,,",18,1,978152203,F,18,3,95825,10-20
12 Angry Men (1957),1203,"Drama,,",10,3,979775159,F,35,1,95370,30-40
"13th Warrior, The (1999)",2826,"Action|Horror|Thriller,",10,4,978230540,F,35,1,95370,30-40
187 (1997),1609,"Drama,,",53,3,977988944,M,25,0,96931,20-30
2 Days in the Valley (1996),999,"Crime,,",12,4,978218568,M,25,12,32793,20-30
20 Dates (1998),2492,"Comedy,,",45,2,977990979,F,45,16,94110,40-50
"20,000 Leagues Under the Sea (1954)",1019,"Adventure|Children's|Fantasy|Sci-Fi,",10,4,978227763,F,35,1,95370,30-40
200 Cigarettes (1999),2504,"Comedy|Drama,,",166,3,977301276,M,18,4,92802,10-20
2001: A Space Odyssey (1968),924,"Drama|Mystery|Sci-Fi|Thriller,,",10,3,979168183,F,35,1,95370,30-40
2010 (1984),2311,"Mystery|Sci-Fi,,",17,4,978161068,M,50,1,95350,40-50
24 7: Twenty Four Seven (1997),2444,"Comedy|Drama,,",1864,5,974694483,M,35,7,94306,30-40
24-hour Woman (1998),2486,"Drama,,",528,2,980039652,F,18,17,83843,10-20
28 Days (2000),3534,"Comedy,,",3,3,978297068,M,25,15,55117,20-30
3 Ninjas: High Noon On Mega Mountain (1998),1739,"Action|Children's,,",18,1,978153912,F,18,3,95825,10-20
3 Strikes (2000),3322,"Comedy,,",1427,1,974760437,M,25,12,21401,20-30
"301, 302 (1995)",652,"Mystery,",284,2,976574064,M,25,12,91910,20-30
"39 Steps, The (1935)",965,"Thriller,",35,4,978102221,M,45,1,02482,40-50
"400 Blows, The (Les Quatre cents coups) (1959)",2731,"Drama,",14,4,978201317,M,35,0,60126,30-40
42 Up (1998),3077,"Documentary,,",149,5,1004196764,M,25,1,29205,20-30
52 Pick-Up (1986),2475,"Action|Mystery|Thriller,,",183,5,1019354775,F,45,1,55407,40-50
54 (1998),2188,"Drama,,",5,1,978241390,M,25,20,55455,20-30
"7th Voyage of Sinbad, The (1958)",3153,"Action|Adventure|Fantasy,",10,2,978229791,F,35,1,95370,30-40
8 1/2 (1963),1251,"Drama,,",35,4,978101388,M,45,1,02482,40-50
8 1/2 Women (1999),3626,"Comedy,,",376,1,982551805,M,35,1,80026,30-40
8 Heads in a Duffel Bag (1997),1503,"Comedy,,",195,3,994295840,M,25,12,10458,20-30
8 Seconds (1994),408,"Drama,,",148,4,979578065,M,50,17,57747,40-50
8MM (1999),2505,"Thriller,,",63,3,977899676,M,18,4,54902,10-20
A Chef in Love (1996),1511,"Comedy,,",331,4,976386168,M,25,7,55902,20-30
Abbott and Costello Meet Frankenstein (1948),3928,"Comedy|Horror,,",10,4,978228307,F,35,1,95370,30-40
"Abominable Snowman, The (1957)",3648,"Horror|Sci-Fi,",504,3,976209369,M,25,2,17003,20-30
About Adam (2000),3862,"Comedy,,",624,4,1006200825,M,25,1,75207,20-30
About Last Night... (1986),2262,"Comedy|Drama|Romance,,",26,5,978384764,M,25,7,23112,20-30
Above the Rim (1994),409,"Drama,,",191,4,977026737,M,18,4,04915,10-20
"Absent Minded Professor, The (1961)",2015,"Children's|Comedy|Fantasy,",10,5,978228601,F,35,1,95370,30-40
Absolute Power (1997),1459,"Mystery|Thriller,,",48,3,978013863,M,25,4,92107,20-30
"Abyss, The (1989)",1127,"Action|Adventure|Sci-Fi|Thriller,",5,1,978241390,M,25,20,55455,20-30
Ace Ventura: Pet Detective (1994),344,"Comedy,,",10,4,978229343,F,35,1,95370,30-40
Ace Ventura: When Nature Calls (1995),19,"Comedy,,",48,2,978147297,M,25,4,92107,20-30
Aces: Iron Eagle III (1992),2817,"Action|War,,",33,2,978108058,M,45,3,55421,40-50
"Acid House, The (1998)",2765,"Comedy|Drama,",1069,1,974944351,M,25,20,98105,20-30
Across the Sea of Time (1995),37,"Documentary,,",513,4,976205121,M,25,0,55119,20-30
Action Jackson (1988),3710,"Action|Comedy,,",76,2,977846589,M,35,7,55413,30-40
"Actor's Revenge, An (Yukinojo Henge) (1963)",3533,"Drama,",2665,1,974836472,M,35,11,98443,30-40
Addams Family Values (1993),410,"Comedy,,",48,2,978063621,M,25,4,92107,20-30
"Addams Family, The (1991)",2124,"Comedy,",10,3,978229208,F,35,1,95370,30-40
Addicted to Love (1997),1541,"Comedy|Romance,,",26,3,978140139,M,25,7,23112,20-30
"Addiction, The (1995)",152,"Horror,",163,1,977212892,M,18,4,85013,10-20
Adrenalin: Fear the Rush (1996),1383,"Action|Sci-Fi,,",336,1,976362039,M,18,0,98765,10-20
Adventures in Babysitting (1987),2133,"Adventure|Comedy,,",10,4,978229171,F,35,1,95370,30-40
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",3070,"Adventure|Comedy|Sci-Fi,",13,1,978202328,M,45,1,93304,40-50
"Adventures of Elmo in Grouchland, The (1999)",2886,"Children's|Comedy,",284,1,976576784,M,25,12,91910,20-30
"Adventures of Milo and Otis, The (1986)",2846,"Children's,",44,5,978042070,M,45,17,98052,40-50
"Adventures of Pinocchio, The (1996)",828,"Adventure|Children's,",403,2,976307310,M,18,4,02138,10-20
"Adventures of Priscilla, Queen of the Desert, The (1994)",345,Comedy|Drama,8,3,978230943,M,25,12,11413,20-30
"Adventures of Robin Hood, The (1938)",940,"Action|Adventure,",18,4,978154433,F,18,3,95825,10-20
"Adventures of Rocky and Bullwinkle, The (2000)",3754,"Animation|Children's|Comedy,",102,1,1039273119,M,35,19,20871,30-40
"Adventures of Sebastian Cole, The (1998)",2766,"Comedy|Drama,",11,4,978903209,F,25,1,04093,20-30
